Unnamed: 0,Date,Title,Description,sentiment,label
1385,"October 02, 2019, Wednesday",Yes Bank bonds slump by record as concerns loom on stress in credit markets,"Dollar bonds of Yes Bank Ltd., which has sizable exposure to the cash-strapped shadow lenders, slumped a record 5.5 cents to 80.9 ...",negative,0
1386,"October 02, 2019, Wednesday","LVB independent director resigns after RBI action, cites personal reasons",The resignation has come days after RBI initiated prompt corrective action against the private sector lender on September 28,negative,0
1387,"October 02, 2019, Wednesday",Yes Bank shrinks its loan book by 4% to enhance capital efficiency,"The lender says its financial and operating metrics are intrinsically sound and stable, with liquidity position well in excess of ...",negative,0
1388,"October 02, 2019, Wednesday",Banks to hold first phase of 'loan mela' across 250 districts on Thursday,"SBI is the lead banker in 48 districts across the country. Likewise, BoB is the lead banker in 17 out of 250 districts in the ...",neutral,1
1389,"October 02, 2019, Wednesday",ICAI to check role of auditors in PMC bank financial irregularities,The Institute of Chartered Accountants of India has written to the Vigilance Department of the RBI and the Commissioner of ...,neutral,1
1390,"October 02, 2019, Wednesday",PMC Bank's suspended MD Joy Thomas blames 'superficial auditing' for mess,"The suspended managing director of Punjab and Maharashtra Cooperative (PMC) Bank, Joy Thomas, has blamed the auditors for the ...",negative,0
1391,"October 02, 2019, Wednesday","34 functional teams formed to smoothen process of PNB, OBC, UBI merger",The merger is scheduled to come into force from April 1 next year,neutral,1
1392,"October 02, 2019, Wednesday",Rana Kapoor's family stake in YES Bank slumps to 1.6%; stock falls 23%,"According to the rating note, these NCDs are Zero Coupon Bonds set for maturity on April 19, 2021.",negative,0
1393,"October 02, 2019, Wednesday",PMC Bank crisis: Ministry of Corporate Affairs to inspect books of HDIL,"The ministry will study the books of account, related-party transactions and filings of the company",negative,0
1394,"October 02, 2019, Wednesday","PMC Bank depositors reach RBI gates, seek meeting to lift withdrawal cap",Depositors have also planned silent marches across Mumbai today,negative,0
1395,"October 01, 2019, Tuesday",RNAM directs trustees to sell remaining pledged shares of Rana Kapoor,"Kapoor has pledged shares of Yes Bank to RNAM, the asset manager of Reliance Mutual Fund, as collateral",neutral,1
1396,"October 01, 2019, Tuesday",DHFL stock declines 20% over HDIL and crisis-hit PMC Bank concerns,"DHFL said it has no exposure to HDIL and PMC, and cautioned against misleading reports that can trigger panic",negative,0
1397,"October 01, 2019, Tuesday","Investors fear NBFCs, small co-op banks may trip financial system: Analysts","Smaller banks with lower capital under scanner, they say",negative,0
1398,"October 01, 2019, Tuesday","Equitas appoints JM Financial, Edelweiss, and IIFL for IPO of SFB unit","The firm is targeting an issue size of Rs 1,500-2,000 crore and may file its offer document with markets regulator Securities and ...",neutral,1
1399,"October 01, 2019, Tuesday",Banking system is safe: RBI tells depositors again as PMC crisis deepens,The RBI statement came on a day when the Nifty Bank index tanked by 1.30 per cent in intra-day trade amid a barrage of negative ...,positive,2
1400,"October 01, 2019, Tuesday",Central Bank withdraws insolvency application against Aban Offshore,"Both parties say they are settling dispute; NCLT dismisses application, permits lender to approach it later",negative,0
1401,"October 01, 2019, Tuesday",Bank of Baroda partners Agra-based NBFC Paisalo Digital for micro lending,"BoB to focus heavily on women SHGs, looks to expand small loans, micro finance portfolio",neutral,1
1402,"October 01, 2019, Tuesday",RBI's PCA has no connection with FIR filed by EOW: Lakshmi Vilas Bank,"Lender inserts ads in several newspapers, issues public notice to explain its point on the FIR that was filed against it based on ...",neutral,1
1403,"October 01, 2019, Tuesday","Bank of Baroda to raise Rs 5,000 cr through bonds, employee stock option","The move comes a day after the public sector lender received capital infusion of Rs 7,000 crore from the Centre",neutral,1
1404,"October 01, 2019, Tuesday",Reports of our exposure to HDIL and PMC Bank are misleading: DHFL,"Debt-laden housing financier DHFL on Tuesday said it has no exposure to HDIL and Punjab & Maharashtra Co-operative Bank, and ...",neutral,1
1405,"October 01, 2019, Tuesday",RBI begins policy review meet; rate cut on cards to boost economy,The Governor has already hinted that the benign inflation provides room for further monetary policy easing while space for fiscal ...,positive,2
1406,"October 01, 2019, Tuesday",Can a land bank be the solution to India's huge shadow bank crisis?,India's banks are rapidly losing faith in the shadow financiers that lend to property builders,neutral,1
1407,"October 01, 2019, Tuesday",Mumbai police file FIR in PMC Bank fraud case; ED may initiate probe soon,"Police to set up SIT team, hire forensic auditor",negative,0
1408,"October 01, 2019, Tuesday",Huge cash withdrawals seen at crisis-hit PMC Bank ahead of RBI clampdown,Frenetic large cash withdrawals  by a few large depositors of the now crippled Punjab &  Maharashtra Cooperative in the third ...,negative,0
1409,"September 30, 2019, Monday","Indian banks are most vulnerable in Asia-Pacific economies, says Moody's","Banks in India risk seeing their capital severely depleted if there is a rise in corporate defaults, warned global rating agency ...",negative,0
1410,"September 30, 2019, Monday","YES Bank stock falls 15% as investors worry over HDIL, DHFL exposure","According to a report, YES Bank had an exposure of Rs 3,700 crore to DHFL - which has also defaulted on its loans",negative,0
1411,"September 30, 2019, Monday",RBI's June 7 circular raises NPA woes for merging public sector banks,Fear delay in execution of resolution plans during transition will lead to fresh provisioning,positive,2
1412,"September 30, 2019, Monday",HDFC bank takes on e-commerce giants with discounts on 1000 major brands,The bank also listed out targets for merchant acquisitions and said it is aiming for a 5 percentage points reduction in its ...,neutral,1
1413,"September 30, 2019, Monday",PMC Bank doesn't pose a systemic threat but it is a canary in the coal mine,"Given the extent of current nervousness in the financial system, it would be a bad idea to let this problem linger for even six ...",neutral,1
1414,"September 30, 2019, Monday",HDFC Capital Advisors looks to raise $1 billion in affordable housing fund,"HDFC Capital Advisors guides HDFC Capital Affordable Real Estate Fund 1 (H-CARE 1) and H-CARE 2, in which ADIA is an anchor ...",positive,2
1415,"September 30, 2019, Monday","RBI may not give extension to Romesh Sobti, Aditya Puri after terms end",Current RBI thinking is not to align pvt bank CEOs' age limit with Companies Act at 75 years,neutral,1
1416,"September 30, 2019, Monday",Crisis-hit PMC Bank used dummy accounts to escape RBI's attention,"The bank misled auditors of the RBI by replacing legacy accounts of the company with dummy accounts, dating back to 2008",negative,0
1417,"September 30, 2019, Monday",RBI got a whiff of evergreening at Punjab and Maharashtra Co-operative Bank,"Central bank had flagged large-scale non-performing advances, but didn't have adequate evidence till September 19",neutral,1
1418,"September 29, 2019, Sunday",PMC Bank administrator to move EoW against former management soon,The FIRs will be filed at the Economic Offence Wing (EOW) of the Mumbai police,negative,0
1419,"September 29, 2019, Sunday",RBI wanted PMC chairman Waryam to be sacked in 2018 for irregularities,PMC was placed under an administrator by the RBI on September 24 and suspended its management led by managing director Joy Thomas,negative,0
1420,"September 29, 2019, Sunday",PMC's HDIL loan at 73% of total loan book: Ex-MD Thomas in letter to RBI,"The admission came in after a board member leaked the actual balancesheet details to the Reserve Bank, a source in know of the ...",neutral,1
1421,"September 28, 2019, Saturday",Lakshmi Vilas Bank gets shareholders' nod to raise up to Rs 1000 cr,The resolution to raise funds by issuance of securities was approved by shareholders in the annual general meeting held on ...,positive,2
1422,"September 28, 2019, Saturday",Reserve Bank puts Lakshmi Vilas Bank under PCA framework over high NPAs,The bank said PCA would not have any adverse impact on its daily operations,neutral,1
1423,"September 28, 2019, Saturday",PMC Bank set to file FIR against sacked managing director Joy Thomas,Joy Thomas to be charged with misrepresenting the bank's books and hiding bad debts of HDIL,negative,0
1424,"September 27, 2019, Friday",RBI's new norms can bring more efficiency in a bank's liquidity management,The framework is proposing that system liquidity should ideally be kept in deficit mode of 0.25-0.50 per cent of the deposit base,positive,2
1425,"September 26, 2019, Thursday",PMC Bank chairman Waryam Singh's connection with HDIL runs deep,Waryam Singh held 1.91% stake in HDIL till 2017,neutral,1
1426,"September 26, 2019, Thursday","RBI hikes withdrawal cap to Rs 10,000 from Rs 1,000 for PMC Bank customers","The amount is the maximum one can withdraw in six months, and includes the Rs 1,000 withdrawal allowed earlier",positive,2
1427,"September 26, 2019, Thursday",New framework to bail out stressed financial companies likely today,Sources said the regulators would identify the companies that would come under the new mechanism and require a lifeline,neutral,1
1428,"September 26, 2019, Thursday",RBI panel suggests longer-term repo operations to manage liquidity,The RBI had set up the internal working group to review the current liquidity management framework with a view to simplify it and ...,neutral,1
1429,"September 26, 2019, Thursday","RBI hikes withdrawal limit to Rs 10,000 from Rs 1,000 for PMC depositors",RBI said the relaxation has been granted with a view to reducing the hardship of depositors,positive,2
1430,"September 26, 2019, Thursday",Reserve Bank officers have Rs 105 crore fixed deposit in PMC Bank,"The RBI has said the depositors of the PMC bank would not be allowed to withdraw more than Rs 1,000 from a savings account, ...",neutral,1
1431,"September 26, 2019, Thursday","FM to discuss external benchmarking of loans, MSME credit with pvt bankers",Finance Minister Nirmala Sitharaman is expected to hold a press conference at around 7 pm today,neutral,1
1432,"September 26, 2019, Thursday","Depositors' money safe: PMC has enough liquidity, assures suspended MD","In an attempt to allay fears of depositors and customers of Punjab & Maharashtra Cooperative Bank (PMC), its suspended managing ...",neutral,1
1433,"September 26, 2019, Thursday","Axis Bank raises Rs 12,500 crore via QIP to enhance capital adequacy",The QIP issuance was done at a price of Rs 629 per equity share at a tight discount of 1.44% over the closing price of the issue ...,positive,2
1434,"September 26, 2019, Thursday","Strong investor interest for capital raising plans, says YES Bank","The lender has got approval from its board to increase its authorised capital from Rs 800 crore to Rs 1,100 crore",positive,2
1435,"September 25, 2019, Wednesday","PMC Bank's liquidity profile is good, depositors need not worry: RBI","As for how long before depositors can withdraw their money from the bank, Bhoria said was left to the RBI to decide",neutral,1
1436,"September 25, 2019, Wednesday",SBI prices home loans at 265 bps over repo rate from October 1,SBI also said that a 5 bps concession will be given to women borrowers under each category of loans.,neutral,1
1437,"September 25, 2019, Wednesday",RBI denies rumours of bank closures after curbs on local lender spark fear,This is the second time in less than two years that policy makers have had to publicly come out in support of banks,negative,0
1438,"September 25, 2019, Wednesday",'My money is gone now': Customers panic as RBI curbs activities at PMC Bank,The sudden move caused PMC Bank depositors to panic and led to protests and long queues outside the bank's branches,negative,0
1439,"September 25, 2019, Wednesday",Banks must appropriately price in credit risk: Ex-RBI deputy guv Thorat,Usha Thorat says it's absolutely essential for financial stability that bank spreads are not under threat,neutral,1
1440,"September 24, 2019, Tuesday",An account closes: Allahabad Bank looks back with nostalgia before merger,The merger marks the end of a bank in which two states with contrasting identities - Uttar Pradesh and West Bengal - took equal ...,neutral,1
1441,"September 24, 2019, Tuesday",Cost of refinancing loans against property is on the rise for shadow banks,"Both non-banking financial companies (NBFCs) and housing finance companies (HFCs) are shying away on such loans to micro, small ...",positive,2
1442,"September 24, 2019, Tuesday",Bank mergers may bring down the curtains for old-world forex brokerages,The flurry of state-run bank mergers will see an era come to an end,negative,0
1443,"September 24, 2019, Tuesday",Linking loans to external benchmark: Why it won't be easy for banks,"Banks in India are not wholesale-funded entities as in developed markets, but deposit-taking. Only a percentage of their books is ...",neutral,1
1444,"September 24, 2019, Tuesday","As NPA resolution crawls, banks stare at spike in credit cost: India Rating",Icra said material incremental NPA generation for fiscal 2020 and 2021 may come from the agriculture and MSME sectors,negative,0
1445,"September 24, 2019, Tuesday",RBI places restrictions on Punjab & Maharashtra Co-op Bank's biz for 6 mths,"Supersedes board, appoints admin; exposure to HDIL bone of contention",neutral,1
1446,"September 24, 2019, Tuesday",Trade unions of public sector banks call off two-day nationwide strike,"AIBOA, the Indian National Bank Officers' Congress and the National Organisation of Bank Officers had called for a two-day strike ...",negative,0
1447,"September 23, 2019, Monday",SBI to launch co-lending of loans with NBFCs in next 30 to 40 days,"The loans, which would essentially be for priority sector, would be on a fully-automated platform",neutral,1
1448,"September 23, 2019, Monday","SBI to use repo rate as benchmark to price MSME, retail loans from Oct 1","Also, link pricing credit to Medium units to the repo rate",neutral,1
1449,"September 23, 2019, Monday",Viral Acharya wants Indian banks to learn this lesson from shampoo makers,Acharya highlighted the dichotomy of India's massive economy -- Asia's third-largest -- but one where living standards are still ...,neutral,1
1450,"September 23, 2019, Monday",Repo rate to be external benchmark for floating rate loans from Oct 1: SBI,"The bank has also extended the external benchmark-based lending to medium enterprises, to boost lending to the MSME sector as a ...",neutral,1
1451,"September 23, 2019, Monday","Loan camps by public sector banks, NBFCs in 200 districts from October 3",The loan camps are being held later than the scheduled date of September 24-29 as lenders will be involved in finalising their ...,neutral,1
1452,"September 22, 2019, Sunday",SBI may soon roll out co-lending model NBFCs in line with RBI guidelines,"Once the present hurdles relating to the integration of technology with the non-banking finance companies are removed, the model ...",neutral,1
1453,"September 22, 2019, Sunday","HDFC Bank to organise 1,000 grameen loan melas in next 6 months","These grameen loan melas will be held across more than 300 districts and cover around 6,000 villages across India",neutral,1
1454,"September 21, 2019, Saturday","Armed with Crisil's AAA rating, NHB to raise Rs 4,000 cr via NCDs",The NHB has robust asset quality and healthy capitalisation,positive,2
1455,"September 21, 2019, Saturday",Utkarsh Small Finance Bank aims at Rs 500-600 cr IPO by Dec 2020,"Prospectus and other necessary documents likely to be filed with Sebi by next April, firm has till April 2021 to get listed",neutral,1
1456,"September 20, 2019, Friday","RBI tightens norms for banks, up penalties for failed ATM transactions","The financial compensation should be done suo motu by the bank, without waiting for a complaint or a claim by a customer, the RBI ...",negative,0
1457,"September 20, 2019, Friday",12% annual credit growth needed to reach $5 trillion mark by 2025: SBI MD,"Against bank credit of Rs 98 trn at present, desired level should be Rs 400 trn, says Dinesh Kumar Khara; As per RBI data, Bank ...",positive,2
1458,"September 20, 2019, Friday",RBI in talks with govt to ensure mega bank mergers are non-disruptive: Das,"The critical issue is to ensure that the process of transition following the merger should be in the most non- disruptive manner, ...",neutral,1
1459,"September 19, 2019, Thursday",Banks will have to take more haircuts in NBFC resolution process: Das,Das' comment on non-banking finance companies (NBFCs) comes at a time when banks are grappling with the resolution of stressed ...,neutral,1
1460,"September 19, 2019, Thursday",Three IL&FS entities turn green after signing terms sheet with lenders,This will help the IL&FS board in its stated objective of asset monetisation,positive,2
1461,"September 19, 2019, Thursday","Bank stake sales in insurance, mutual fund subsidiaries hit a wall",Lenders await RBI norms on holdco structure; guidelines are likely to be finalised by year end,negative,0
1462,"September 19, 2019, Thursday","No stressed asset of MSME to be declared NPA till Mar 31, 2020: Sitharaman",State-owned lenders will hold meetings with Non-Banking Financing Companies--or shadow banks--and new retail customers in 200 ...,neutral,1
1463,"September 19, 2019, Thursday","Rate cut, infusion of liquidity will end credit crisis: Edelweiss chairman",The premium that top-rated non-bank lenders pay over sovereign debt to borrow fell to the lowest in a year last week,positive,2
1464,"September 18, 2019, Wednesday",RBI unlikely to extend October 1 deadline for repo-linked loans,The RBI is of the opinion that banks already have enough flexibility to introduce a repo-linked loan product,neutral,1
1465,"September 18, 2019, Wednesday","RBI plans to structure loan rates of NBFCs, housing finance companies","Unlike banks, HFCs and NBFCs do not have any 'anchor rate' or a uniform interest rate-determining structure",neutral,1
1466,"September 18, 2019, Wednesday","CVC sets up panel to examine bank frauds of over Rs 50 cr, suggest actions","This development will instill a sense of protection among bankers from prosecution for genuine decisions, and promote lending",neutral,1
1467,"September 18, 2019, Wednesday",Fund raising via NCDs drop 67% on low investors' confidence in Apr-Aug FY20,NCDs are loan-linked bonds that cannot be converted into stocks and usually offer higher interest rates than convertible ...,negative,0
1468,"September 18, 2019, Wednesday","Indian Bank gets board nod to raise Rs 5,000 cr, merge with Allahabad Bank","Indian Bank to be anchor in the merger, which will create country's seventh largest lender",neutral,1
1469,"September 17, 2019, Tuesday",Irdai in talks with insurance firms hit by govt's mega PSB merger drive,The mergers have created a problem as many of these banks are promoters of insurance companies,negative,0
1470,"September 17, 2019, Tuesday",Podcast: Nirmala Sitharaman's various moves to help revive the economy,"Finance ministry is working out mechanism to release the money, stuck after it sanctioned the amount to other ministries & ...",neutral,1
1471,"September 17, 2019, Tuesday",A bank's race against crisis has served a warning to Indian banking,"At more than $200 billion, India's world-beating pile of bad loans is bigger than Italy's",neutral,1
1472,"September 16, 2019, Monday","Mega merger of PSBs: What happens to their names, logo and identity?","Among other committees formed by banks to implement the merger is a committee on branding, which will look into the issue of logo ...",neutral,1
1473,"September 16, 2019, Monday",NextGen PSBs: Allahabad Bank board approves merger with Indian Bank,Finance Minister Nirmala Sitharaman had on August 30 announced the consolidation of 10 state-run banks into four large-scale ...,neutral,1
1474,"September 16, 2019, Monday",SBI Chairman slams 'selfish' private sector bank for Altico crisis,"According to reports, a leading private sector bank allegedly moved in to secure its exposure by ""netting-off"" money from a fixed ...",neutral,1
1475,"September 16, 2019, Monday",Why has India's mega public sector banks merger plan failed to lure funds?,A prolonged shadow-banking crisis and hurdles in bankruptcy rules have left India holding the world's worst bad-debt pile,negative,0
1476,"September 16, 2019, Monday","Warburg Pincus may buy Andhra Bank's 20.5% stake in IndiaFirst, says report",Deal could be valued at Rs 700 cr; Analysts say this could be seen as a direct impact of the recently-announced mega-mergers of ...,neutral,1
1477,"September 16, 2019, Monday",Debt of NBFCs fast catching up with non-finance companies: Details here,Borrowings by NBFCs up 21% CAGR in last 5 years,neutral,1
1478,"September 15, 2019, Sunday",SBI will move RBI to offer fixed-floating rate home-loans: Chairman,Rajnish Kumar said the central bank's recent guidelines on floating rate products for the retail segment has necessitated the ...,neutral,1
1479,"September 15, 2019, Sunday",SBI drops IPO plans for general insurance arm; card JV to hit market in Q4,"Investor interest for its cards business is very high, and SBI Card listing will happen in the March quarter",negative,0
1480,"September 14, 2019, Saturday",On-tap licence regime: RBI doubles SFB net worth floor to Rs 200 crore,RBI has stated that the key criteria for licences will be the entity's ability to serve smaller customers,positive,2
1481,"September 13, 2019, Friday",RBI-led review could be a painkiller for liquidity-starved shadow banks,The pain is clear in both funding costs and share prices: a handful of shadow banks have lost between 40 per cent and 90 per cent ...,negative,0
1482,"September 13, 2019, Friday","YES Bank stock slide, promoters seek intervention from Sebi and RBI",Shareholders say negative messages being circulated by short-sellers,negative,0
1483,"September 13, 2019, Friday",RBI proposes Rs 200 cr minimum equity capital to set up small finance bank,"Releasing the draft guidelines for 'on tap' licensing of SFBs in the private sector, the RBI said existingNBFCs, micro finance ...",neutral,1
1484,"September 13, 2019, Friday","Can banks survive negative rates, instability in global financial system?",The spread of unconventional monetary policies threatens to set off dangerous and unpredictable feedback loops,neutral,1
1485,"September 13, 2019, Friday",Repo-linked loans: Home buyers to see higher outgo in initial years,"Under the new structure, SBI has divided the principle amount of the loan by the tenur",positive,2
1486,"September 12, 2019, Thursday","NBFC crisis: Now, DHFL, Altico Capital default on bond repayments","The default by DHFL is towards principal and interest on non-convertible debentures worth Rs 350 crore issued by it, DHFL said in ...",negative,0
1487,"September 12, 2019, Thursday",Finance secy Rajiv Kumar to hold review meeting with public sector banks,"RBI had earlier this month made it mandatory for banks to link all their fresh retail loans to an external benchmark, effective ...",neutral,1
1488,"September 12, 2019, Thursday",Reserve Bank increases banks' loan exposure limit to single NBFC,The RBI on Thursday increased loan exposure limit of banks to a single NBFC (excluding gold loan companies) from 15 per cent to ...,neutral,1
1489,"September 12, 2019, Thursday","Bank credit growth slumps to 10.24%, deposits at 9.73%, shows RBI data","In the year-ago fortnight, advances were at Rs 87.80 trillion while deposits stood at Rs 116.46 trillion",negative,0
1490,"September 12, 2019, Thursday","RBI cuts risk weight on consumer credit, including personal loan, to 100%","Currently, the risk weight requirement for such loans is 125 per cent",neutral,1
1491,"September 12, 2019, Thursday",Bank unions to go on two-day strike from Sept 20 to protest mega merger,"The government has identified four state-run banks- Punjab National Bank, Canara Bank, Union Bank of India and Allahabad Bank for ...",negative,0
1492,"September 12, 2019, Thursday","19 lenders file 529 wilful default cases worth Rs 18,500 cr in June quarter",Amount outstanding is up by over a tenth in a quarter,negative,0
1493,"September 12, 2019, Thursday","ECB cuts rates, restarts QE to fight slowdown as Draghi era ends","The announcement of a new stimulus package is a remarkable turn of events, just nine months after the ECB signaled it was done ...",negative,0
1494,"September 12, 2019, Thursday",ECB introduces Quantitative Easing from Nov 1 at 20 bn Euro/month,The ECB cut its deposit rate to a record low -0.5% from -0.4%,neutral,1
1495,"September 12, 2019, Thursday",Bank of Baroda seeks to sell Dena Bank headquarter in BKC for Rs 530 cr,Dena Bank and Vijaya Bank got amalgamated with Bank of Baroda from this April,neutral,1
1496,"September 12, 2019, Thursday",Merger of banks will not negatively impact our business: Infosys Finacle,Infosys Finacle provides banking solutions various banks across 100 countries and cater to more than 1.3 billion accounts,neutral,1
1497,"September 12, 2019, Thursday",Banks target weaker borrowers as credit growth slips: Why it's a risky bet,Unsecured loans can only offer banks a temporary shelter during a downturn in collateralised credit,negative,0
1498,"September 12, 2019, Thursday","10-year bond yields rise, may become tough for banks to pass on rate cuts","The domestic 10-year bond closed at 6.68%, from its Monday's close of 6.58%",negative,0
1499,"September 11, 2019, Wednesday","UP co-op banks to lend Rs 3,221 cr to sugar mills ahead of crushing season","Estimated working capital needs of the units rises 20% this season, state govt to stand guarantor for loans",positive,2
1500,"September 11, 2019, Wednesday","Tired of ATM frauds? Soon, you can withdraw money from ATMs using UPI","For now, this service is only available to Bank of India customers and at some ATMs",neutral,1
1501,"September 11, 2019, Wednesday","Corporate bond issuances on the upswing, reach Rs 5.45 trillion till August","While liquidity played a role, banks' reluctance to lend due to risk aversion and tightened group borrower exposure limits are ...",neutral,1
1502,"September 10, 2019, Tuesday","From UK to India, drivers of digital payments explained in three charts",Data also shows the spread and intensity of digital payments does not always increase in tandem with a country's GDP,neutral,1
1503,"September 10, 2019, Tuesday","It's equity raising time for NBFCs, but capital boom may not lift all boats",Raising equity is more about when now; not why do so,positive,2
1504,"September 10, 2019, Tuesday","IL&FS gets 14 bids worth Rs 13,000 cr for 10 domestic road assets",The bankrupt Infrastructure  Leasing & Financial Services (IL&FS) Tuesday has received 14  binding financial bids worth around Rs ...,positive,2
1505,"September 10, 2019, Tuesday","Yes Bank nears deal to sell minority stake to global tech firm, says CEO","In addition to the tech investor, smaller investors could pump in about $200 million to $250 million, Gill said",neutral,1
1506,"September 10, 2019, Tuesday","Aptus raises Rs 880 cr from Steadview Capital, Sequoia, Malabar Investments","In the past 10 years, Aptus has built a franchise in affordable housing finance with a loan book of over Rs 2,650 crore, which ...",neutral,1
1507,"September 09, 2019, Monday","SBI cuts MCLR by 10 basis points, slashes term deposit rates by 20-25 bps",Bank official hints at another round of rate cuts following low credit offtake,negative,0
1508,"September 09, 2019, Monday",State Bank of India cuts MCLR By 10 bps effective September 10,State Bank of India reduced interest rates on time deposits across all maturities,negative,0
1509,"September 09, 2019, Monday",Finance ministry dept's fine on banks an afterthought: Delhi High Court,The appellate tribunal for PML held that though banks had not reported the matter to the authorities,negative,0
1510,"September 09, 2019, Monday","Bank of Baroda plans to raise capital up to Rs 3,000 cr via tier-II bonds","BOB is amongst the better capitalised PSBs, with a common equity tier I capital of 8.49% in 1QFY20",positive,2
1511,"September 08, 2019, Sunday","Customer to IT integration, banks to follow BoB's footsteps during merger","Banks to take cue from merger of BoB, Vijaya Bank, and Dena Bank",neutral,1
1512,"September 08, 2019, Sunday",Merger of public sector banks: Has governance been given short shrift?,The govt's silence on the road map to change the governance structure of state-run banks make experts wary of the road ahead,negative,0
1513,"September 08, 2019, Sunday","18 PSBs hit by 2,480 cases of fraud of over Rs 31,000 cr in Q1: RTI","As many as 1,197 cases of cheating involving Rs 12,012.77 crore were detected in SBI in the first quarter, according to the RTI ...",negative,0
1514,"September 08, 2019, Sunday","PNB puts up 11 NPA accounts for sale to recover dues worth Rs 1,234 cr","The sale is on 100 per cent cash basis, PNB said in an advertisement",neutral,1
1515,"September 08, 2019, Sunday",SBI sought 147 look out circulars in bank fraud cases in last 5 month: RTI,Data shows that the bank started seeking LoC from the Bureau of Immigration from April this year,neutral,1
1516,"September 08, 2019, Sunday","PSB mergers nearly done, 12 banks almost right for India: Finance Secy","The consolidation will help create strong and globally competitive banks with economies of scale, he said",neutral,1
1517,"September 08, 2019, Sunday",World's worst bad-loan mess set to worsen on India's cash crunch,The failure to slash stressed assets is undermining India's efforts to revive economic growth that has cooled to a six-year low,negative,0
1518,"September 08, 2019, Sunday",Swiss data on closed bank accounts can give clue to Indians' hidden wealth,Full details of the entire flow of funds to and from all the accounts that were active even for a single day in the year 2018 ...,neutral,1
1519,"September 07, 2019, Saturday",The largest rewrite of the banking history and merger's cultural traps,Govt's focus on technological compatibility over cultural is set to make the largest rewrite of the banking history a complex job,neutral,1
1520,"September 06, 2019, Friday",Amalgamation of 10 public sector banks likely to take place on April 1,"The decision was taken in a meeting of 10 PSBs, who are part of the latest merger process, with finance ministry officials in ...",neutral,1
1521,"September 06, 2019, Friday","Repo-link effect: Banks likely to raise risk spread, say analysts","Private sector bankers have earlier warned that repo is inherently a volatile rate, but linking the lending rates to the ...",positive,2
1522,"September 05, 2019, Thursday","Pay by app: The risks and rewards as Indians chuck cash, go digital",There are 238 digital payment apps to choose from if you still haven't downloaded one for your smartphone,neutral,1
1523,"September 05, 2019, Thursday","Punjab National Bank board approves amalgamation with OBC, United Bank","The government on Friday announced infusion of Rs 16,000 crore in PNB for a smooth and seamless amalgamation",neutral,1
1524,"September 05, 2019, Thursday","Aditya Birla Capital to raise Rs 2,100 crore from promoter, PE firms","US-based private equity firm Advent International will put in Rs 1,000 crore via its affiliate Jomei Investment Limited",neutral,1
1525,"September 05, 2019, Thursday","Banks form GM-level teams for merger ease, may hire advisory firms",Banks are also weighing the option of hiring experts for help in specialised areas,neutral,1
1526,"September 05, 2019, Thursday",RBI mandates banks to link fresh retail loans to external benchmark,"Move to cover fresh retail, MSME loans from Oct 1; home, auto loans to get cheaper",neutral,1
1527,"September 04, 2019, Wednesday",Secondary loan mkt may completely change India's banking landscape: Experts,"In India, there is a well established secondary market for stressed loans",neutral,1
1528,"September 04, 2019, Wednesday","Canara Bank to PNB, Moody's affirms rating for five PSBs on merger decision",The affirmations reflect Moody's expectation that the acquiring banks will receive sufficient capital injections,neutral,1
1529,"September 04, 2019, Wednesday","Link all new floating-rate home, auto loans to repo from Oct: RBI to banks","The apex bank also said that the interest rate under external benchmark, like repo, should be reset at least once in 3 months",neutral,1
1530,"September 04, 2019, Wednesday",Moody's upgrades PNB's outlook to 'positive' from 'stable',"It also affirmed the local and foreign currency deposit ratings of Canara Bank, OBC, Syndicate Bank and Union Bank at Baa3/P-3",positive,2
1531,"September 04, 2019, Wednesday",ICICI bank loans get cheaper! Lending rates cut by 10 bps across maturities,"With this cut, which comes amid repeated RBI nudges to slash rates, the total quantum of rate reduction by the bank since April ...",positive,2
1532,"September 04, 2019, Wednesday",Yes Bank settles 'selective disclosure' of asset quality case with Sebi,The lender pays Rs 51.6 lakh as settlement charges under so-called consent mechanism; its compliance officer pays another Rs ...,neutral,1
1533,"September 04, 2019, Wednesday",Why India could miss fiscal deficit target for the current financial year,"By the end of 2019, govt could be forced to raise the fiscal deficit target to 3.5% of GDP from the current target of 3.3% as ...",negative,0
1534,"September 04, 2019, Wednesday","Canara Bank board to meet next week over Rs 9,000-cr capital infusion",The board will also consider amalgamation of Syndicate Bank with Canara Bank,neutral,1
1535,"September 04, 2019, Wednesday",Confidence crisis at home forcing NBFCs to cough up more for funds overseas,"The cash squeeze threatens a broader fallout, as the higher cost of funds is passed on to merchants getting micro loans and ...",negative,0
1536,"September 04, 2019, Wednesday",Bank of Baroda to share its merger experience with 10 public sector banks,"While the market is looking at near-term implications of the merger like the pace of lending activity, banks are more concerned ...",positive,2
1537,"September 03, 2019, Tuesday",RBI task force for allowing FPIs to directly purchase distressed loans,"There should be a central loan contract registry, the task force suggested",neutral,1
1538,"September 03, 2019, Tuesday","IDBI Bank to get Rs 9,300-crore capital infusion from promoters",This is the first time the government has decided to pump money in IDBI Bank after LIC acquired a majority stake of 51 per cent ...,positive,2
1539,"September 03, 2019, Tuesday",Bank mergers cast shadow on wage negotiations between IBA and unions,Bank unions - officers and workmen - had buried their differences and sat across the table on August 29 to work out a fresh deal ...,negative,0
